MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2024-07-28 10:40:51,9,3.62,,FR1,Poke,Left,1,0,0,,0,FR1
2024-07-28 10:45:16,9,3.62,2.0,FR1,Pellet,Left,1,0,1,,0,FR1
2024-07-28 10:46:31,9,3.62,,FR1,Poke,Left,1,1,1,,0,FR1
2024-07-28 10:47:57,9,3.62,,FR1,Poke,Left,2,1,1,,0,FR1
2024-07-28 10:48:51,9,3.62,,FR1,Poke,Left,3,1,1,,0,FR1
2024-07-28 10:48:58,9,3.62,,FR1,Poke,Left,3,2,1,,0,FR1
2024-07-28 10:50:16,9,3.62,,FR1,Poke,Left,3,3,1,,0,FR1
2024-07-28 10:50:28,9,3.62,,FR1,Poke,Left,4,3,1,,0,FR1
2024-07-28 10:50:32,9,3.62,,FR1,Poke,Left,5,3,1,,0,FR1
2024-07-28 10:54:29,9,3.62,2.0,FR1,Pellet,Left,5,3,2,,0,FR1
2024-07-28 10:55:09,9,3.62,,FR1,Poke,Left,6,3,2,,0,FR1
2024-07-28 10:55:17,9,3.62,,FR1,Poke,Left,6,4,2,,0,FR1
2024-07-28 10:58:23,9,3.62,,FR1,Poke,Left,7,4,2,,0,FR1
2024-07-28 10:58:44,9,3.62,,FR1,Poke,Left,7,5,2,,0,FR1
2024-07-28 12:07:53,9,3.62,1.0,FR1,Pellet,Left,7,5,3,,0,FR1
2024-07-28 12:46:11,9,3.62,,FR1,Poke,Left,8,5,3,,0,FR1
2024-07-28 12:49:40,9,3.62,,FR1,Poke,Left,9,5,3,,0,FR1
2024-07-28 12:52:49,9,3.62,,FR1,Poke,Left,10,5,3,,0,FR1
2024-07-28 13:00:57,9,3.62,2.0,FR1,Pellet,Left,10,5,4,,0,FR1
2024-07-28 13:02:06,9,3.62,,FR1,Poke,Left,10,6,4,,0,FR1
2024-07-28 13:03:14,9,3.62,,FR1,Poke,Left,10,7,4,,0,FR1
2024-07-28 13:10:13,9,3.62,,FR1,Poke,Left,10,8,4,,0,FR1
2024-07-28 13:10:16,9,3.62,,FR1,Poke,Left,11,8,4,,0,FR1
2024-07-28 13:10:21,9,3.62,4.0,FR1,Pellet,Left,11,8,5,0.06,0,FR1
2024-07-28 15:56:28,9,3.62,,FR1,Poke,Left,12,8,5,,0,FR1
2024-07-28 15:56:44,9,3.62,3.0,FR1,Pellet,Left,12,8,6,12.57,0,FR1
2024-07-28 18:00:04,9,3.62,,FR1,Poke,Left,13,8,6,,0,FR1
2024-07-28 18:00:06,9,3.62,2.0,FR1,Pellet,Left,13,8,7,1.07,0,FR1
2024-07-28 18:01:30,9,3.62,,FR1,Poke,Left,14,8,7,,0,FR1
2024-07-28 18:01:32,9,3.62,2.0,FR1,Pellet,Left,14,8,8,0.06,0,FR1
2024-07-28 18:13:18,9,3.62,,FR1,Poke,Left,15,8,8,,0,FR1
2024-07-28 18:13:19,9,3.61,1.0,FR1,Pellet,Left,15,8,9,0.06,0,FR1
2024-07-28 18:14:12,9,3.62,,FR1,Poke,Left,15,9,9,,0,FR1
