MM:DD:YYYY hh:mm:ss,Device_Number,Battery_Voltage,Motor_Turns,Session_Type,Event,Active_Poke,Left_Poke_Count,Right_Poke_Count,Pellet_Count,Retrieval_Time,Concat_#,Mode
2024-07-28 10:39:07,6,3.81,,FR1,Poke,Left,1,0,0,,0,FR1
2024-07-28 10:43:40,6,3.8,,FR1,Poke,Left,1,1,0,,0,FR1
2024-07-28 10:44:25,6,3.8,,FR1,Poke,Left,2,1,0,,0,FR1
2024-07-28 10:46:27,6,3.8,,FR1,Poke,Left,3,1,0,,0,FR1
2024-07-28 10:46:28,6,3.8,,FR1,Poke,Left,4,1,0,,0,FR1
2024-07-28 10:47:40,6,3.8,,FR1,Poke,Left,4,2,0,,0,FR1
2024-07-28 10:49:42,6,3.8,,FR1,Poke,Left,5,2,0,,0,FR1
2024-07-28 10:50:58,6,3.8,,FR1,Poke,Left,5,3,0,,0,FR1
2024-07-28 10:51:55,6,3.8,,FR1,Poke,Left,6,3,0,,0,FR1
2024-07-28 10:57:24,6,3.8,,FR1,Poke,Left,7,3,0,,0,FR1
2024-07-28 10:57:36,6,3.81,3.0,FR1,Pellet,Left,7,3,1,,0,FR1
2024-07-28 10:58:29,6,3.8,,FR1,Poke,Left,8,3,1,,0,FR1
2024-07-28 10:58:32,6,3.8,1.0,FR1,Pellet,Left,8,3,2,1.83,0,FR1
2024-07-28 10:59:08,6,3.81,,FR1,Poke,Left,9,3,2,,0,FR1
2024-07-28 10:59:08,6,3.8,,FR1,Poke,Left,10,3,2,,0,FR1
2024-07-28 10:59:53,6,3.8,,FR1,Poke,Left,11,3,2,,0,FR1
2024-07-28 11:07:19,6,3.81,,FR1,Poke,Left,11,4,2,,0,FR1
2024-07-28 12:41:21,6,3.8,2.0,FR1,Pellet,Left,11,4,3,,0,FR1
2024-07-28 12:43:00,6,3.8,,FR1,Poke,Left,11,5,3,,0,FR1
2024-07-28 12:48:57,6,3.8,,FR1,Poke,Left,12,5,3,,0,FR1
2024-07-28 12:50:49,6,3.8,,FR1,Poke,Left,13,5,3,,0,FR1
2024-07-28 12:51:50,6,3.8,,FR1,Poke,Left,14,5,3,,0,FR1
2024-07-28 12:52:31,6,3.8,1.0,FR1,Pellet,Left,14,5,4,,0,FR1
2024-07-28 12:53:35,6,3.8,,FR1,Poke,Left,15,5,4,,0,FR1
2024-07-28 12:53:39,6,3.8,,FR1,Poke,Left,16,5,4,,0,FR1
2024-07-28 12:55:31,6,3.8,,FR1,Poke,Left,17,5,4,,0,FR1
2024-07-28 12:57:02,6,3.8,,FR1,Poke,Left,17,6,4,,0,FR1
2024-07-28 12:57:33,6,3.8,,FR1,Poke,Left,18,6,4,,0,FR1
